temperature_C,pressure_bar,flow_m_s,pH,CO2_ppm,H2S_ppm,DO_mgL,water_cut,inhibitor_eff,CP_voltage,P_corrosion,Corrosion
57.35,29.38,1.754,6.179,687.08,3.878,0.712,0.247,0.13,-0.623,0.8708,1
87.2,30.08,1.559,7.54,669.54,7.084,0.581,0.108,0.376,-0.54,0.8811,1
66.26,31.09,0.29,6.181,35.19,0.035,0,0.163,0.162,-0.66,0.7172,1
51.43,27.77,1.112,4.933,478.69,3.433,0,0.144,0.297,-0.787,0.8409,1
49.29,29,1.368,6.187,177.53,6.687,0.175,0.059,0.228,-1.161,0.5702,1
64.82,31.84,1.309,5.727,117.45,7.635,0.047,0.332,0.321,-0.974,0.4253,0
57.77,35.2,0.685,6.275,403.09,0.86,1.252,0.203,0.105,-0.779,0.7436,0
67.14,20.22,2.457,6.293,285.83,2.715,0.504,0.188,0.168,-0.909,0.711,1
64.73,28.16,0.361,7.458,454.28,2.716,0.033,0.108,0.21,-0.983,0.7954,1
59.27,31.07,0.458,7.056,23.17,0.547,0.206,0.646,0.252,-0.257,0.6581,0
51.53,25.41,1.117,6.711,115.08,2.926,0.197,0.514,0.239,-0.512,0.6848,0
44.85,38.66,2.058,6.498,115.4,8.228,0.327,0.124,0.105,-0.362,0.6892,1
55.53,26.82,0.582,5.653,120.03,1.785,0,0.771,0.166,-0.905,0.6617,1
68.56,29.79,0.867,4.755,209.44,2.833,0.012,0.059,0.304,-0.817,0.4999,0
62.14,32.78,1.539,6.591,99.81,16.216,0.96,0.032,0.077,-0.878,0.5725,1
47.54,27.04,0.991,7.136,176.3,0.161,0.611,0.231,0.298,-1.181,0.557,0
61.73,20.77,0.833,6.413,137.55,4.477,0.409,0.163,0.254,-0.714,0.586,0
63.85,27.86,1.283,6.072,398.74,6.802,0.502,0.127,0.412,-0.893,0.5058,0
51.16,35.15,1.136,6.872,277.52,7.154,0.473,0.256,0.222,-0.902,0.647,1
61.54,28.32,1.515,6.433,318.07,6.293,0.375,0.055,0.734,-0.955,0.4341,0
60.58,25.77,1.646,7.849,70.94,6.481,0.81,0.433,0.201,-0.812,0.5435,1
48.57,34.63,1.154,7.486,118.14,0.304,0.766,0.175,0.446,-0.644,0.2413,0
63.58,28.35,1.146,7.268,6.42,3.819,0,0.047,0.648,-0.988,0.2298,0
65.61,27.45,1.107,7.106,34.41,7.639,0.421,0.062,0.568,-0.869,0.2622,0
70.83,30.75,1.245,5.468,92.39,0.494,0,0.277,0.324,-0.851,0.424,0
70.54,33.85,1.028,7.03,20.31,0.061,0.881,0.416,0.32,-0.827,0.2634,1
46.22,41.91,1,6.801,276.87,8.425,0.961,0.722,0.363,-0.967,0.3499,1
50.62,34.14,1.598,6.985,1884.56,6.229,0.134,0.128,0.319,-0.692,0.9855,1
65.15,35.8,1.758,6.894,31.88,2.657,0.43,0.115,0.083,-0.797,0.5246,0
65.14,27.47,0.246,6.862,516.5,14.1,0,0.559,0.491,-0.855,0.7689,1
65.15,24.87,1.005,8.661,37.95,7.275,1.084,0.058,0.314,-0.719,0.2625,0
98.53,30.31,0.656,6.439,332.52,17.188,0.926,0.252,0.362,-0.825,0.6267,1
65.71,30.54,0.845,7.249,309.14,13.248,1.19,0.188,0.243,-0.965,0.7294,0
71.36,24.61,1.201,6.123,699.04,3.282,1.392,0.051,0.184,-0.744,0.9024,1
69.54,29.12,1.335,7.133,36.29,7.027,0,0.019,0.231,-0.774,0.5621,1
66.51,32,0.944,7.251,113.7,5.531,1.033,0.226,0.211,-1.188,0.6038,1
56.85,31.8,0.043,6.792,28.55,8.342,1.388,0.123,0.136,-0.601,0.6841,0
67.59,32.52,0.517,7.835,156.96,7.749,0,0.158,0.383,-1.049,0.3481,0
52.27,31.45,1.448,5.793,727.74,0.832,0.397,0.132,0.063,-0.8,0.919,1
57.63,27.46,0.37,6.11,456.32,1.331,0.282,0.15,0.127,-0.879,0.7723,1
55.15,27.43,1.594,6.67,385.01,1.544,1.013,0.256,0.551,-0.766,0.4398,1
60.82,24.01,1.261,7.205,228.45,8.532,0,0.344,0.075,-0.902,0.6574,1
83.15,38.92,1.658,6.644,644.92,8.323,1.59,0.187,0.127,-0.742,0.9128,0
41.33,30.07,0.901,7.529,179.05,3.419,0.432,0.105,0.088,-0.539,0.7185,1
66.86,28.88,0.031,5.971,48.64,4.347,1.05,0.221,0.562,-0.9,0.5703,1
43.87,25.36,1.215,5.588,545.28,8.77,0.464,0.216,0.154,-0.878,0.8683,1
55.28,44.68,1.637,6.747,98.4,1.874,0.795,0.168,0.2,-0.94,0.5252,1
70.89,24.63,1.462,6.438,16.54,0.257,0,0.057,0.49,-0.737,0.2626,1
60.64,27.86,0.669,6.934,40.42,3.295,0.269,0.286,0.261,-0.852,0.5085,0
49.22,32.08,1.043,6.478,281.76,12.251,1.009,0.441,0.377,-0.776,0.3533,0
52.85,33,0.734,6.228,280.25,7.814,0.673,0.019,0.174,-1.034,0.6565,1
66.8,34.79,0.59,6.44,90.41,2.283,0,0.106,0.121,-0.788,0.5762,0
52.7,39.04,1.478,6.523,389.68,0.335,0.537,0.095,0.39,-1.157,0.4312,1
62.16,32.53,0.401,6.256,445.69,5.066,0.009,0.303,0.108,-0.698,0.7909,1
60.46,24.72,0.553,6.337,759.61,8.994,0,0.113,0.296,-0.931,0.9036,0
53.48,28.72,0.448,6.177,263.8,5.467,0,0.098,0.747,-0.88,0.3569,0
81.44,31.54,0.255,7.185,453.45,2.768,0.871,0.102,0.314,-0.775,0.784,1
66.34,40.34,1.073,6.655,419.63,0.658,1.168,0.277,0.251,-1.012,0.7834,1
39.75,23.01,1.581,8.305,89.44,12.083,1.772,0.028,0.209,-1.006,0.5046,1
61.86,36.01,0.908,6.629,111.42,1.615,0,0.317,0.392,-0.321,0.4431,0
53.38,30.9,0.247,6.059,195.3,1.27,0.96,0.069,0.331,-0.803,0.4884,0
68.52,34.19,1.42,8.637,5.77,8.463,1,0.203,0.539,-0.614,0.2569,0
52.07,29.49,1.843,6.831,105.89,19.875,0.152,0.066,0.407,-0.931,0.2515,0
58.85,25.79,0.677,7.292,192.67,5.396,0,0.358,0.548,-0.836,0.3329,0
65.05,33.75,0.761,6.974,34.31,4.902,0,0.091,0.562,-0.947,0.2505,0
68.66,33.27,1.258,6.998,40.5,1.924,0.184,0.418,0.333,-0.523,0.4242,0
48,34.86,1.811,6.929,186.66,0.103,0.622,0.158,0.116,-0.748,0.5646,1
56.65,29.93,0.74,5.618,393.87,1.065,1.316,0.107,0.183,-0.873,0.8198,1
55.25,27,0.334,6.794,538.28,4.391,1.163,0.171,0.169,-0.694,0.8053,0
53.47,22.21,1.316,5.44,237.1,0.82,0,0.245,0.356,-0.934,0.4454,0
77.65,34.1,1.4,6.361,193.16,10.764,0.027,0.133,0.198,-1.063,0.7074,1
64.05,32.12,1.003,5.92,145.49,1.042,1.28,0.255,0.144,-0.572,0.8344,1
47.39,25.17,0.721,6.786,64.31,3.692,0.061,0.145,0.483,-0.847,0.213,0
69.18,27.31,1.497,6.767,47.54,3.587,0.466,0.417,0.256,-0.725,0.5563,1
81.22,27.67,1.264,6.885,470.92,4.631,0,0.207,0.291,-0.855,0.8503,1
70.32,22.59,0.616,6.73,187.65,1.983,1.192,0.13,0.283,-0.72,0.6614,1
44.81,25.91,1.025,6.015,468.65,10.339,0,0.084,0.457,-1.189,0.489,1
55.16,24.33,0.324,6.291,365.3,2.938,0,0.288,0.381,-0.959,0.4253,0
72.67,27.94,1.343,7.236,64.66,6.022,1.13,0.021,0.093,-1.164,0.5981,1
52.92,26.31,0.869,7.354,214.19,5.052,1.652,0.161,0.507,-0.467,0.4878,1
64.44,21.86,0.782,5.583,176.11,0.623,0.326,0.13,0.179,-0.77,0.7344,1
67.75,40.11,0.984,5.275,165.43,4.873,0.472,0.057,0.176,-0.866,0.741,1
50.73,36.26,1.02,5.918,234.64,4,1.045,0.142,0.288,-0.969,0.7147,1
59.4,26.1,1.447,7.336,1206.58,11.444,0.674,0.275,0.634,-0.574,0.9551,1
27.59,31.36,1.296,7.472,502.83,10.638,0.276,0.072,0.502,-0.445,0.681,0
49.76,32.09,0.922,5.76,702.12,0.818,0.209,0.122,0.19,-0.734,0.9094,1
57.47,35.96,1.382,6.746,9.03,0.426,0,0.318,0.058,-0.753,0.4692,1
47.52,25.91,1.2,7.968,45.36,1.745,0.64,0.391,0.438,-0.745,0.2036,0
76.32,35.46,0.787,6.832,26.57,21.567,0.445,0.124,0.287,-0.904,0.5881,0
45.7,27.26,0.938,7.637,91.64,0.109,0.237,0.141,0.087,-0.831,0.4937,0
55.6,23.32,0.926,7.299,174.96,5.587,0,0.092,0.594,-1.164,0.3072,1
61.31,33.62,1.253,5.772,308.21,4.689,0,0.029,0.223,-1.004,0.7943,1
74.41,36.45,0.816,6.348,208.44,5.2,0.871,0.076,0.319,-0.725,0.4167,0
45.64,42.94,0.805,6.528,700.48,1.231,1.029,0.113,0.14,-0.849,0.8583,1
71.63,24,1.984,6.583,843.3,1.286,0.304,0.127,0.45,-0.56,0.8968,1
60.1,33.49,1.47,7.233,53.57,2.816,0.241,0.119,0.298,-1.04,0.5157,1
50.18,27.95,0.62,6.827,575.02,0.504,0,0.306,0.25,-0.584,0.8937,1
64.62,33.92,1.285,4.151,197.17,0.388,1.062,0.273,0.078,-0.918,0.7472,1
61.99,22.65,1.059,5.45,181.17,0.463,0.519,0.083,0.362,-0.924,0.446,1
54,23.69,1.196,4.75,461.05,4.255,0.721,0.068,0.447,-0.924,0.6138,0
60.7,26.12,1.069,6.64,29.33,2.535,0.715,0.256,0.103,-0.949,0.5005,1
56.15,30.39,1.595,6.692,642.38,1.738,0.315,0.249,0.083,-0.675,0.852,1
61.14,26.79,1.173,6.727,333.38,1.898,0,0.345,0.359,-0.911,0.4312,0
66.62,33.3,0.969,5.733,624.46,1.161,0,0.14,0.109,-1.172,0.9173,1
75.86,35.13,1.521,7.039,1559.68,2.651,1.177,0.03,0.365,-0.739,0.9758,1
47.62,33,1.117,7.073,218.95,1.135,0.065,0.089,0.186,-0.73,0.5883,1
81.33,38.09,1.061,5.496,29.37,5.987,0.254,0.123,0.117,-0.824,0.7241,1
40.48,32.08,1.157,5.327,54.65,0.662,0,0.337,0.562,-0.79,0.3024,0
58.48,23.92,0.953,6.5,117.3,14.806,0,0.326,0.485,-0.808,0.2832,0
65.88,36.82,1.005,7.933,32.79,0.471,0.039,0.089,0.215,-0.661,0.529,0
62.81,26.97,0.707,7.86,506.77,14.364,1.513,0.094,0.024,-0.51,0.9026,0
53.77,34.55,0.624,6.951,105.66,8.958,0.895,0.172,0.319,-1.034,0.2578,0
57.92,37.87,0.501,5.916,1117.49,5.708,0.184,0.263,0.51,-0.423,0.9631,1
55.07,32.28,0.304,7.209,363.79,12.169,1.15,0.108,0.192,-0.522,0.8379,1
